date | value
2020-03-15 | 0
2020-03-16 | 0
2020-03-17 | 0
2020-03-18 | 0
2020-03-19 | 0
2020-03-20 | 0
2020-03-21 | 0
2020-03-22 | 0
2020-03-23 | 0
2020-03-24 | 0.5
2020-03-25 | 1
2020-03-26 | 1.2
2020-03-27 | 1.5
2020-03-28 | 1.75
2020-03-29 | 1.5
2020-03-30 | 1.6
2020-03-31 | 1.7
2020-04-01 | 1.2
2020-04-02 | 1.1
2020-04-03 | 1
2020-04-04 | 1.2
2020-04-05 | 1.1
2020-04-06 | 1
2020-04-07 | 1.3
2020-04-08 | 1.5
2020-04-09 | 2
2020-04-10 | 2.5
2020-04-11 | 1.9
2020-04-12 | 1.85
2020-04-14 | -1
2020-04-14 | 1001
2020-42-42 | 3
